Sim_ID;Fracture_Case;HF_Case;K_min;K_max;Por_min;Por_max;Pore_pressure;Fracture_length_ft;Fracture_height_ft;Fracture_width_in;Fracture_perm_md;SF_Heat_Perf_kJ
46;SF_BASE_CASE_MQR_003_139;2;0,00005;0,001;0,00545;0,0157;9000;200;50;0,1;30000;564,85
47;SF_BASE_CASE_MQR_003_139;2;0,00005;0,001;0,0545;0,157;9000;200;50;0,1;30000;1084,16
48;SF_BASE_CASE_MQR_003_139;2;0,00005;0,001;0,109;0,314;9000;200;50;0,1;30000;1472,59
49;SF_BASE_CASE_MQR_003_139;2;0,0001;0,002;0,00545;0,0157;9000;200;50;0,1;30000;1228,53
50;SF_BASE_CASE_MQR_003_139;2;0,0001;0,002;0,0545;0,157;9000;200;50;0,1;30000;1972,08
51;SF_BASE_CASE_MQR_003_139;2;0,0001;0,002;0,109;0,314;9000;200;50;0,1;30000;2453,96
52;SF_BASE_CASE_MQR_003_139;2;0,001;0,02;0,00545;0,0157;9000;200;50;0,1;30000;10741,71
53;SF_BASE_CASE_MQR_003_139;2;0,001;0,02;0,0545;0,157;9000;200;50;0,1;30000;13152,51
54;SF_BASE_CASE_MQR_003_139;2;0,001;0,02;0,109;0,314;9000;200;50;0,1;30000;14650,54
55;SF_BASE_CASE_MQR_003_140;3;0,00005;0,001;0,00545;0,0157;5000;300;50;0,1;30000;454,85
56;SF_BASE_CASE_MQR_003_140;3;0,00005;0,001;0,0545;0,157;5000;300;50;0,1;30000;1013,33
57;SF_BASE_CASE_MQR_003_140;3;0,00005;0,001;0,109;0,314;5000;300;50;0,1;30000;1415,72
58;SF_BASE_CASE_MQR_003_140;3;0,0001;0,002;0,00545;0,0157;5000;300;50;0,1;30000;958,71
59;SF_BASE_CASE_MQR_003_140;3;0,0001;0,002;0,0545;0,157;5000;300;50;0,1;30000;1736,38
60;SF_BASE_CASE_MQR_003_140;3;0,0001;0,002;0,109;0,314;5000;300;50;0,1;30000;2237,08
61;SF_BASE_CASE_MQR_003_140;3;0,001;0,02;0,00545;0,0157;5000;300;50;0,1;30000;7720,39
62;SF_BASE_CASE_MQR_003_140;3;0,001;0,02;0,0545;0,157;5000;300;50;0,1;30000;10239,55
63;SF_BASE_CASE_MQR_003_140;3;0,001;0,02;0,109;0,314;5000;300;50;0,1;30000;11793,93
64;SF_BASE_CASE_MQR_003_140;3;0,00005;0,001;0,00545;0,0157;7000;300;50;0,1;30000;622,71
65;SF_BASE_CASE_MQR_003_140;3;0,00005;0,001;0,0545;0,157;7000;300;50;0,1;30000;1306,81
66;SF_BASE_CASE_MQR_003_140;3;0,00005;0,001;0,109;0,314;7000;300;50;0,1;30000;1813,05
67;SF_BASE_CASE_MQR_003_140;3;0,0001;0,002;0,00545;0,0157;7000;300;50;0,1;30000;1328,84
68;SF_BASE_CASE_MQR_003_140;3;0,0001;0,002;0,0545;0,157;7000;300;50;0,1;30000;2308,71
69;SF_BASE_CASE_MQR_003_140;3;0,0001;0,002;0,109;0,314;7000;300;50;0,1;30000;2940,91
70;SF_BASE_CASE_MQR_003_140;3;0,001;0,02;0,00545;0,0157;7000;300;50;0,1;30000;10981,43
71;SF_BASE_CASE_MQR_003_140;3;0,001;0,02;0,0545;0,157;7000;300;50;0,1;30000;14176,4
72;SF_BASE_CASE_MQR_003_140;3;0,001;0,02;0,109;0,314;7000;300;50;0,1;30000;16147,19
73;SF_BASE_CASE_MQR_003_140;3;0,00005;0,001;0,00545;0,0157;9000;300;50;0,1;30000;766,11
74;SF_BASE_CASE_MQR_003_140;3;0,00005;0,001;0,0545;0,157;9000;300;50;0,1;30000;1548,44
75;SF_BASE_CASE_MQR_003_140;3;0,00005;0,001;0,109;0,314;9000;300;50;0,1;30000;2135,13
76;SF_BASE_CASE_MQR_003_140;3;0,0001;0,002;0,00545;0,0157;9000;300;50;0,1;30000;1646,08
77;SF_BASE_CASE_MQR_003_140;3;0,0001;0,002;0,0545;0,157;9000;300;50;0,1;30000;2790,37
78;SF_BASE_CASE_MQR_003_140;3;0,0001;0,002;0,109;0,314;9000;300;50;0,1;30000;3525,9
79;SF_BASE_CASE_MQR_003_140;3;0,001;0,02;0,00545;0,0157;9000;300;50;0,1;30000;13795,32
80;SF_BASE_CASE_MQR_003_140;3;0,001;0,02;0,0545;0,157;9000;300;50;0,1;30000;17549
81;SF_BASE_CASE_MQR_003_140;3;0,001;0,02;0,109;0,314;9000;300;50;0,1;30000;19867,94
82;SF_BASE_CASE_MQR_003_141;4;0,00005;0,001;0,00545;0,0157;5000;400;50;0,1;30000;586,59
83;SF_BASE_CASE_MQR_003_141;4;0,00005;0,001;0,0545;0,157;5000;400;50;0,1;30000;1329,01
84;SF_BASE_CASE_MQR_003_141;4;0,00005;0,001;0,109;0,314;5000;400;50;0,1;30000;1863,7
85;SF_BASE_CASE_MQR_003_141;4;0,0001;0,002;0,00545;0,0157;5000;400;50;0,1;30000;1214,82
86;SF_BASE_CASE_MQR_003_141;4;0,0001;0,002;0,0545;0,157;5000;400;50;0,1;30000;2260,95
87;SF_BASE_CASE_MQR_003_141;4;0,0001;0,002;0,109;0,314;5000;400;50;0,1;30000;2932,28
88;SF_BASE_CASE_MQR_003_141;4;0,001;0,02;0,00545;0,0157;5000;400;50;0,1;30000;9452,4
89;SF_BASE_CASE_MQR_003_141;4;0,001;0,02;0,0545;0,157;5000;400;50;0,1;30000;12938,41
90;SF_BASE_CASE_MQR_003_141;4;0,001;0,02;0,109;0,314;5000;400;50;0,1;30000;15053,88
91;SF_BASE_CASE_MQR_003_141;4;0,00005;0,001;0,00545;0,0157;7000;400;50;0,1;30000;800,79
92;SF_BASE_CASE_MQR_003_141;4;0,00005;0,001;0,0545;0,157;7000;400;50;0,1;30000;1711,58
93;SF_BASE_CASE_MQR_003_141;4;0,00005;0,001;0,109;0,314;7000;400;50;0,1;30000;2383,31
94;SF_BASE_CASE_MQR_003_141;4;0,0001;0,002;0,00545;0,0157;7000;400;50;0,1;30000;1677,88
95;SF_BASE_CASE_MQR_003_141;4;0,0001;0,002;0,0545;0,157;7000;400;50;0,1;30000;3000,89
96;SF_BASE_CASE_MQR_003_141;4;0,0001;0,002;0,109;0,314;7000;400;50;0,1;30000;3847,3
97;SF_BASE_CASE_MQR_003_141;4;0,001;0,02;0,00545;0,0157;7000;400;50;0,1;30000;13406,5
98;SF_BASE_CASE_MQR_003_141;4;0,001;0,02;0,0545;0,157;7000;400;50;0,1;30000;17844,14
99;SF_BASE_CASE_MQR_003_141;4;0,001;0,02;0,109;0,314;7000;400;50;0,1;30000;20536,46
100;SF_BASE_CASE_MQR_003_141;4;0,00005;0,001;0,00545;0,0157;9000;400;50;0,1;30000;983,51
101;SF_BASE_CASE_MQR_003_141;4;0,00005;0,001;0,0545;0,157;9000;400;50;0,1;30000;2025,96
102;SF_BASE_CASE_MQR_003_141;4;0,00005;0,001;0,109;0,314;9000;400;50;0,1;30000;2804,02
103;SF_BASE_CASE_MQR_003_141;4;0,0001;0,002;0,00545;0,0157;9000;400;50;0,1;30000;2073,85
104;SF_BASE_CASE_MQR_003_141;4;0,0001;0,002;0,0545;0,157;9000;400;50;0,1;30000;3621,64
105;SF_BASE_CASE_MQR_003_141;4;0,0001;0,002;0,109;0,314;9000;400;50;0,1;30000;4605,71
106;SF_BASE_CASE_MQR_003_141;4;0,001;0,02;0,00545;0,0157;9000;400;50;0,1;30000;16817,1
107;SF_BASE_CASE_MQR_003_141;4;0,001;0,02;0,0545;0,157;9000;400;50;0,1;30000;22038,79
108;SF_BASE_CASE_MQR_003_141;4;0,001;0,02;0,109;0,314;9000;400;50;0,1;30000;25212,9
109;SF_BASE_CASE_MQR_003_142;5;0,00005;0,001;0,00545;0,0157;5000;500;50;0,1;30000;730,95
110;SF_BASE_CASE_MQR_003_142;5;0,00005;0,001;0,0545;0,157;5000;500;50;0,1;30000;1660,11
111;SF_BASE_CASE_MQR_003_142;5;0,00005;0,001;0,109;0,314;5000;500;50;0,1;30000;2328,81
112;SF_BASE_CASE_MQR_003_142;5;0,0001;0,002;0,00545;0,0157;5000;500;50;0,1;30000;1492,7
113;SF_BASE_CASE_MQR_003_142;5;0,0001;0,002;0,0545;0,157;5000;500;50;0,1;30000;2821,75
114;SF_BASE_CASE_MQR_003_142;5;0,0001;0,002;0,109;0,314;5000;500;50;0,1;30000;3663,84
115;SF_BASE_CASE_MQR_003_142;5;0,001;0,02;0,00545;0,0157;5000;500;50;0,1;30000;11275,66
116;SF_BASE_CASE_MQR_003_142;5;0,001;0,02;0,0545;0,157;5000;500;50;0,1;30000;15849,81
117;SF_BASE_CASE_MQR_003_142;5;0,001;0,02;0,109;0,314;5000;500;50;0,1;30000;18567,62
118;SF_BASE_CASE_MQR_003_142;5;0,00005;0,001;0,00545;0,0157;7000;500;50;0,1;30000;996,4
119;SF_BASE_CASE_MQR_003_142;5;0,00005;0,001;0,0545;0,157;7000;500;50;0,1;30000;2138,13
120;SF_BASE_CASE_MQR_003_142;5;0,00005;0,001;0,109;0,314;7000;500;50;0,1;30000;2977,35
121;SF_BASE_CASE_MQR_003_142;5;0,0001;0,002;0,00545;0,0157;7000;500;50;0,1;30000;2056,1
122;SF_BASE_CASE_MQR_003_142;5;0,0001;0,002;0,0545;0,157;7000;500;50;0,1;30000;3741,84
123;SF_BASE_CASE_MQR_003_142;5;0,0001;0,002;0,109;0,314;7000;500;50;0,1;30000;4804,65
124;SF_BASE_CASE_MQR_003_142;5;0,001;0,02;0,00545;0,0157;7000;500;50;0,1;30000;15953,06
125;SF_BASE_CASE_MQR_003_142;5;0,001;0,02;0,0545;0,157;7000;500;50;0,1;30000;21797,99
126;SF_BASE_CASE_MQR_003_142;5;0,001;0,02;0,109;0,314;7000;500;50;0,1;30000;25271,08
127;SF_BASE_CASE_MQR_003_142;5;0,00005;0,001;0,00545;0,0157;9000;500;50;0,1;30000;1222,59
128;SF_BASE_CASE_MQR_003_142;5;0,00005;0,001;0,0545;0,157;9000;500;50;0,1;30000;2530,77
129;SF_BASE_CASE_MQR_003_142;5;0,00005;0,001;0,109;0,314;9000;500;50;0,1;30000;3502,7
130;SF_BASE_CASE_MQR_003_142;5;0,0001;0,002;0,00545;0,0157;9000;500;50;0,1;30000;2537,13
131;SF_BASE_CASE_MQR_003_142;5;0,0001;0,002;0,0545;0,157;9000;500;50;0,1;30000;4513,28
132;SF_BASE_CASE_MQR_003_142;5;0,0001;0,002;0,109;0,314;9000;500;50;0,1;30000;5748,97
133;SF_BASE_CASE_MQR_003_142;5;0,001;0,02;0,00545;0,0157;9000;500;50;0,1;30000;19981,18
134;SF_BASE_CASE_MQR_003_142;5;0,001;0,02;0,0545;0,157;9000;500;50;0,1;30000;26875,92
135;SF_BASE_CASE_MQR_003_142;5;0,001;0,02;0,109;0,314;9000;500;50;0,1;30000;30979,98
136;SF_BASE_CASE_MQR_003_143;6;0,00005;0,001;0,00545;0,0157;5000;600;50;0,1;30000;886,55
137;SF_BASE_CASE_MQR_003_143;6;0,00005;0,001;0,0545;0,157;5000;600;50;0,1;30000;2008,77
138;SF_BASE_CASE_MQR_003_143;6;0,00005;0,001;0,109;0,314;5000;600;50;0,1;30000;2813,17
139;SF_BASE_CASE_MQR_003_143;6;0,0001;0,002;0,00545;0,0157;5000;600;50;0,1;30000;1785,3
140;SF_BASE_CASE_MQR_003_143;6;0,0001;0,002;0,0545;0,157;5000;600;50;0,1;30000;3414,01
141;SF_BASE_CASE_MQR_003_143;6;0,0001;0,002;0,109;0,314;5000;600;50;0,1;30000;4429,97
142;SF_BASE_CASE_MQR_003_143;6;0,001;0,02;0,00545;0,0157;5000;600;50;0,1;30000;13121,62
143;SF_BASE_CASE_MQR_003_143;6;0,001;0,02;0,0545;0,157;5000;600;50;0,1;30000;18842,95
144;SF_BASE_CASE_MQR_003_143;6;0,001;0,02;0,109;0,314;5000;600;50;0,1;30000;22194,39
145;SF_BASE_CASE_MQR_003_143;6;0,00005;0,001;0,00545;0,0157;7000;600;50;0,1;30000;1207
146;SF_BASE_CASE_MQR_003_143;6;0,00005;0,001;0,0545;0,157;7000;600;50;0,1;30000;2589,93
147;SF_BASE_CASE_MQR_003_143;6;0,00005;0,001;0,109;0,314;7000;600;50;0,1;30000;3598,59
148;SF_BASE_CASE_MQR_003_143;6;0,0001;0,002;0,00545;0,0157;7000;600;50;0,1;30000;2453,18
149;SF_BASE_CASE_MQR_003_143;6;0,0001;0,002;0,0545;0,157;7000;600;50;0,1;30000;4525,53
150;SF_BASE_CASE_MQR_003_143;6;0,0001;0,002;0,109;0,314;7000;600;50;0,1;30000;5812,02
151;SF_BASE_CASE_MQR_003_143;6;0,001;0,02;0,00545;0,0157;7000;600;50;0,1;30000;18517,15
152;SF_BASE_CASE_MQR_003_143;6;0,001;0,02;0,0545;0,157;7000;600;50;0,1;30000;25856,06
153;SF_BASE_CASE_MQR_003_143;6;0,001;0,02;0,109;0,314;7000;600;50;0,1;30000;30151,25
154;SF_BASE_CASE_MQR_003_143;6;0,00005;0,001;0,00545;0,0157;9000;600;50;0,1;30000;1479,83
155;SF_BASE_CASE_MQR_003_143;6;0,00005;0,001;0,0545;0,157;9000;600;50;0,1;30000;3067,74
156;SF_BASE_CASE_MQR_003_143;6;0,00005;0,001;0,109;0,314;9000;600;50;0,1;30000;4235,05
157;SF_BASE_CASE_MQR_003_143;6;0,0001;0,002;0,00545;0,0157;9000;600;50;0,1;30000;3023,06
158;SF_BASE_CASE_MQR_003_143;6;0,0001;0,002;0,0545;0,157;9000;600;50;0,1;30000;5455,34
159;SF_BASE_CASE_MQR_003_143;6;0,0001;0,002;0,109;0,314;9000;600;50;0,1;30000;6956,06
160;SF_BASE_CASE_MQR_003_143;6;0,001;0,02;0,00545;0,0157;9000;600;50;0,1;30000;23161,82
161;SF_BASE_CASE_MQR_003_143;6;0,001;0,02;0,0545;0,157;9000;600;50;0,1;30000;31835,55
162;SF_BASE_CASE_MQR_003_143;6;0,001;0,02;0,109;0,314;9000;600;50;0,1;30000;36920,3
163;SF_BASE_CASE_MQR_003_144;7;0,00005;0,001;0,00545;0,0157;5000;700;50;0,1;30000;1033,01
164;SF_BASE_CASE_MQR_003_144;7;0,00005;0,001;0,0545;0,157;5000;700;50;0,1;30000;2357,43
165;SF_BASE_CASE_MQR_003_144;7;0,00005;0,001;0,109;0,314;5000;700;50;0,1;30000;3302,28
166;SF_BASE_CASE_MQR_003_144;7;0,0001;0,002;0,00545;0,0157;5000;700;50;0,1;30000;2069,08
167;SF_BASE_CASE_MQR_003_144;7;0,0001;0,002;0,0545;0,157;5000;700;50;0,1;30000;4003,38
168;SF_BASE_CASE_MQR_003_144;7;0,0001;0,002;0,109;0,314;5000;700;50;0,1;30000;5202,16
169;SF_BASE_CASE_MQR_003_144;7;0,001;0,02;0,00545;0,0157;5000;700;50;0,1;30000;14874,85
170;SF_BASE_CASE_MQR_003_144;7;0,001;0,02;0,0545;0,157;5000;700;50;0,1;30000;21751,09
171;SF_BASE_CASE_MQR_003_144;7;0,001;0,02;0,109;0,314;5000;700;50;0,1;30000;25740,27
172;SF_BASE_CASE_MQR_003_144;7;0,00005;0,001;0,00545;0,0157;7000;700;50;0,1;30000;1404,25
173;SF_BASE_CASE_MQR_003_144;7;0,00005;0,001;0,0545;0,157;7000;700;50;0,1;30000;3039,76
174;SF_BASE_CASE_MQR_003_144;7;0,00005;0,001;0,109;0,314;7000;700;50;0,1;30000;4224,15
